#GameID,Score
1,1
2,2
3,2
4,1
5,2
6,1
7,2
8,1
9,2
10,1
11,1
12,D
13,2
14,1
15,2
16,1
17,1
18,1
19,1
20,2
21,1
22,1
23,1
24,D
25,1
26,1
27,2
28,1
29,2
30,2
31,2
32,2
33,1
34,1
35,1
36,2
37,D
38,1
39,2
40,1
41,2
42,1
43,1
44,1
45,1
46,D
47,1
48,2
49,D
50,1
51,D
52,2
53,1
54,2
55,2
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,2
65,D
66,2
67,1
68,1
69,1
70,1
71,1
72,2
73,D
74,D
75,1
76,1
77,2
78,1
79,2
80,1
81,1
82,2
83,2
84,1
85,1
86,1
87,2
88,1
89,1
90,2
91,D
92,1
93,2
94,2
95,2
96,1
97,1
98,2
99,1
100,2
101,1
102,2
103,2
104,1
105,1
106,1
107,1
108,1
109,2
110,1
111,1
112,2
113,2
114,1
115,2
116,2
117,1
118,2
119,1
120,1
121,1
122,1
123,1
124,1
125,2
126,2
127,2
128,2
129,1
130,1
131,2
132,2
133,2
134,1
135,D
136,D
137,1
138,1
139,1
140,1
141,2
142,2
143,D
144,1
145,1
146,2
147,1
148,1
149,D
150,2
151,2
152,1
153,1
154,1
155,1
156,D
157,1
158,1
159,2
160,1
161,2
162,1
163,2
164,D
165,D
166,1
167,2
168,1
169,1
170,1
171,2
172,D
173,1
174,2
175,2
176,1
177,1
178,2
179,2
180,1
181,1
182,1
183,2
184,2
185,2
186,1
187,1
188,D
189,2
190,1
191,1
192,1
193,2
194,1
195,1
196,2
197,1
198,1
199,2
200,2
201,1
202,1
203,2
204,1
205,2
206,1
207,2
208,1
209,1
210,2
211,2
212,2
213,2
214,D
215,1
216,1
217,2
218,1
219,1
220,1
221,1
222,1
223,1
224,D
225,2
226,1
227,2
228,1
229,D
230,1
231,D
232,1
233,1
234,2
235,D
236,1
237,1
238,1
239,2
240,1
241,1
242,1
243,1
244,1
245,1
246,1
247,1
248,2
249,2
250,1
251,2
252,1
253,1
254,D
255,2
256,2
257,D
258,1
259,1
260,2
261,1
262,2
263,1
264,2
265,2
266,1
267,2
268,2
269,2
270,2
271,1
272,1
273,1
274,D
275,1
276,1
277,D
278,2
279,1
280,2
281,2
282,2
283,D
284,1
285,1
286,1
287,1
288,D
289,1
290,D
291,1
292,1
293,1
294,1
295,1
296,1
297,2
298,2
299,2
300,1
301,2
302,2
303,1
304,1
305,1
306,2
307,1
308,2
309,2
310,2
311,1
312,2
313,2
314,1
315,1
316,1
317,1
318,2
319,2
320,1
321,1
322,2
323,2
324,2
325,2
326,1
327,2
328,1
329,1
330,2
331,2
332,1
333,1
334,2
335,1
336,2
337,2
338,1
339,1
340,1
341,2
342,1
343,2
344,1
345,1
346,2
347,2
348,1
349,1
350,2
351,D
352,1
353,2
354,2
355,2
356,1
357,2
358,2
359,1
360,2
361,1
362,2
363,2
364,2
365,2
366,1
367,2
368,1
369,1
370,2
371,1
372,2
373,1
374,1
375,2
376,2
377,1
378,2
379,2
380,D
381,1
382,1
383,D
384,1
385,2
386,1
387,1
388,2
389,2
390,2
391,2
392,1
393,1
394,2
395,1
